rep,alp,num_cell,cell_size,sparse_freq,error
0,0.1,26,200,6,27.234076300781474
0,0.1,26,200,8,27.6337150532027
0,0.1,32,50,2,22.60732012666088
0,0.1,32,50,4,23.61918899681332
0,0.1,32,50,6,24.615394074181427
0,0.1,32,50,8,25.429514463336975
0,0.1,32,100,2,22.64430290134672
0,0.1,32,100,4,23.608306476843904
0,0.1,32,100,6,24.60931842131393
0,0.1,32,100,8,25.38143906850501
0,0.1,32,200,2,22.584002364079794
0,0.1,32,200,4,23.599221187607466
0,0.1,32,200,6,24.63021392617848
0,0.1,32,200,8,25.371073451926062
0,1.0,8,50,2,43.22989213572204
0,1.0,8,50,4,41.154469560883015
0,1.0,8,50,6,40.77252936535074
0,1.0,8,50,8,40.72315619072615
0,1.0,8,100,2,43.114625650431044
0,1.0,8,100,4,41.16210979203736
0,1.0,8,100,6,40.78542099008094
0,1.0,8,100,8,40.796263802317384
0,1.0,8,200,2,43.03238620518513
0,1.0,8,200,4,41.09228373765419
0,1.0,8,200,6,40.948785475535004
0,1.0,8,200,8,40.797530462287654
0,1.0,14,50,2,35.59816081621794
0,1.0,14,50,4,34.9600239383956
0,1.0,14,50,6,35.28214702699126
0,1.0,14,50,8,35.58082400786774
0,1.0,14,100,2,35.656228709904084
0,1.0,14,100,4,34.81290215032251
0,1.0,14,100,6,35.20604129230297
0,1.0,14,100,8,35.60860968215543
0,1.0,14,200,2,35.65508854785623
0,1.0,14,200,4,34.915786847400355
0,1.0,14,200,6,35.289972299903816
0,1.0,14,200,8,35.626811252527126
0,1.0,20,50,2,30.449356245179462
0,1.0,20,50,4,31.207409514406248
0,1.0,20,50,6,32.100875524066645
0,1.0,20,50,8,32.72000169227055
0,1.0,20,100,2,30.49306271562922
0,1.0,20,100,4,31.296813568649146
0,1.0,20,100,6,32.12707584071721
0,1.0,20,100,8,32.71149364843229
0,1.0,20,200,2,30.44681514627219
0,1.0,20,200,4,31.235241265852824
0,1.0,20,200,6,32.094270310089
0,1.0,20,200,8,32.68655767595997
0,1.0,26,50,2,27.020340216222124
0,1.0,26,50,4,29.01153762450613
0,1.0,26,50,6,30.18249356474121
0,1.0,26,50,8,30.94156615383659
0,1.0,26,100,2,27.112368055121937
0,1.0,26,100,4,28.98591159747222
0,1.0,26,100,6,30.154000217142983
0,1.0,26,100,8,30.837387278968936
0,1.0,26,200,2,27.047222943990636
0,1.0,26,200,4,28.997866190313186
0,1.0,26,200,6,30.20574488281627
0,1.0,26,200,8,30.945050483794336
0,1.0,32,50,2,24.791814219145223
0,1.0,32,50,4,27.520209914449264
0,1.0,32,50,6,28.9327348447976
0,1.0,32,50,8,29.773591568927824
0,1.0,32,100,2,24.870256901462167
0,1.0,32,100,4,27.632908444269045
0,1.0,32,100,6,28.999309465802945
0,1.0,32,100,8,29.67740069016917
0,1.0,32,200,2,24.758158023213127
0,1.0,32,200,4,27.513256276476227
0,1.0,32,200,6,28.960088099456318
0,1.0,32,200,8,29.79062027238404
0,10.0,8,50,2,42.47213810197943
0,10.0,8,50,4,40.89322328457133
0,10.0,8,50,6,40.982549628890496
0,10.0,8,50,8,41.15912837663554
0,10.0,8,100,2,42.863009007753185
0,10.0,8,100,4,40.83242334921874
0,10.0,8,100,6,41.01962615342619
0,10.0,8,100,8,41.40629297794055
0,10.0,8,200,2,42.80623002744574
0,10.0,8,200,4,40.860556334126514
0,10.0,8,200,6,41.00561243115986
0,10.0,8,200,8,41.23433831875678
0,10.0,14,50,2,36.28668046079064
0,10.0,14,50,4,37.01404444168992
0,10.0,14,50,6,37.95993962048953
0,10.0,14,50,8,38.52354756364512
