rep,alp,num_cell,cell_size,sparse_freq,error
0,1.0,26,50,2,9.656725627950483
0,1.0,26,50,4,11.037119398110827
0,1.0,26,50,6,11.849968799920193
0,1.0,26,50,8,12.427351755513861
0,1.0,26,100,2,9.60392554608663
0,1.0,26,100,4,10.941798297432166
0,1.0,26,100,6,11.813501063319327
0,1.0,26,100,8,12.412822068445228
0,1.0,26,200,2,9.636859869571206
0,1.0,26,200,4,11.017307537173153
0,1.0,26,200,6,11.838375754423817
0,1.0,26,200,8,12.297167841176378
0,1.0,32,50,2,8.738931685392279
0,1.0,32,50,4,10.377362453401048
0,1.0,32,50,6,11.378275808305625
0,1.0,32,50,8,11.820880480405478
0,1.0,32,100,2,8.792796515833155
0,1.0,32,100,4,10.347036709640799
0,1.0,32,100,6,11.203496142082795
0,1.0,32,100,8,11.795644046653061
0,1.0,32,200,2,8.794715846742928
0,1.0,32,200,4,10.38835552929468
0,1.0,32,200,6,11.201606083563123
0,1.0,32,200,8,11.890252527325659
0,10.0,8,50,2,22.242522794221543
0,10.0,8,50,4,20.244301076456523
0,10.0,8,50,6,20.265573894168647
0,10.0,8,50,8,20.666860374445278
0,10.0,8,100,2,22.51113056802531
0,10.0,8,100,4,20.11945963351959
0,10.0,8,100,6,20.442162218189768
0,10.0,8,100,8,20.501693004387285
0,10.0,8,200,2,22.440969724866676
0,10.0,8,200,4,19.88506096078316
0,10.0,8,200,6,20.31003816211295
0,10.0,8,200,8,20.967241258535953
0,10.0,14,50,2,15.537138837574203
0,10.0,14,50,4,16.314721785618616
0,10.0,14,50,6,17.24213882667575
0,10.0,14,50,8,17.88407838139841
0,10.0,14,100,2,15.608105246036045
0,10.0,14,100,4,16.403265981418997
0,10.0,14,100,6,17.10968323869745
0,10.0,14,100,8,17.66819739757809
0,10.0,14,200,2,16.009324694466397
0,10.0,14,200,4,16.577314898142514
0,10.0,14,200,6,17.285672772120108
0,10.0,14,200,8,17.776444950739446
0,10.0,20,50,2,13.60512766381776
0,10.0,20,50,4,15.154976262319733
0,10.0,20,50,6,16.17219521025829
0,10.0,20,50,8,16.848921907160523
0,10.0,20,100,2,13.566121545160804
0,10.0,20,100,4,15.063704573081878
0,10.0,20,100,6,16.297816541031715
0,10.0,20,100,8,16.822722889952413
0,10.0,20,200,2,13.645838209932732
0,10.0,20,200,4,15.184359504423304
0,10.0,20,200,6,16.18890127354479
0,10.0,20,200,8,16.864928341172423
0,10.0,26,50,2,12.742384188108726
0,10.0,26,50,4,14.60461374306861
0,10.0,26,50,6,15.689068111756416
0,10.0,26,50,8,16.246879982365137
0,10.0,26,100,2,12.710606472813886
0,10.0,26,100,4,14.58371888150601
0,10.0,26,100,6,15.696442384433233
0,10.0,26,100,8,16.244034361689526
0,10.0,26,200,2,12.751254749265426
0,10.0,26,200,4,14.622154415466822
0,10.0,26,200,6,15.73253656460368
0,10.0,26,200,8,16.168153019380583
0,10.0,32,50,2,12.312567696167404
0,10.0,32,50,4,14.398023925405283
0,10.0,32,50,6,15.380855778769421
0,10.0,32,50,8,16.07786080872746
0,10.0,32,100,2,12.3298043193898
0,10.0,32,100,4,14.255817631206865
