rep,alp,num_cell,cell_size,sparse_freq,filter_dim,error
1,0.01,512,100,6,"(32, 32)",9.129501486598205
1,0.01,512,100,8,"(32, 32)",10.765089400966023
1,0.01,512,200,2,"(32, 32)",11.567160661978777
1,0.01,512,200,4,"(32, 32)",8.577738101759858
1,0.01,512,200,6,"(32, 32)",9.142443979669043
1,0.01,512,200,8,"(32, 32)",9.516432353629744
1,0.1,128,50,2,"(32, 32)",21.82935405703438
1,0.1,128,50,4,"(32, 32)",28.765075910425967
1,0.1,128,50,6,"(32, 32)",34.14237505794183
1,0.1,128,50,8,"(32, 32)",37.032463626852724
1,0.1,128,100,2,"(32, 32)",22.512141363918772
1,0.1,128,100,4,"(32, 32)",27.693764005987628
1,0.1,128,100,6,"(32, 32)",34.452730608216015
1,0.1,128,100,8,"(32, 32)",35.58193792485223
1,0.1,128,200,2,"(32, 32)",22.121666005119078
1,0.1,128,200,4,"(32, 32)",28.46288647027006
1,0.1,128,200,6,"(32, 32)",33.64236982881816
1,0.1,128,200,8,"(32, 32)",37.067344104513374
1,0.1,224,50,2,"(32, 32)",13.628175977765954
1,0.1,224,50,4,"(32, 32)",13.356169234564021
1,0.1,224,50,6,"(32, 32)",13.678829286016633
1,0.1,224,50,8,"(32, 32)",13.843570751123332
1,0.1,224,100,2,"(32, 32)",13.501459537303779
1,0.1,224,100,4,"(32, 32)",13.387646551959582
1,0.1,224,100,6,"(32, 32)",13.6474874566491
1,0.1,224,100,8,"(32, 32)",13.910989086711465
1,0.1,224,200,2,"(32, 32)",13.544175526932074
1,0.1,224,200,4,"(32, 32)",13.365124916209309
1,0.1,224,200,6,"(32, 32)",13.670006847812413
1,0.1,224,200,8,"(32, 32)",13.861046450525057
1,0.1,320,50,2,"(32, 32)",10.813117566415661
1,0.1,320,50,4,"(32, 32)",12.24202047987535
1,0.1,320,50,6,"(32, 32)",12.928679624615095
1,0.1,320,50,8,"(32, 32)",13.274023050973042
1,0.1,320,100,2,"(32, 32)",10.763339969762523
1,0.1,320,100,4,"(32, 32)",12.192068642390499
1,0.1,320,100,6,"(32, 32)",12.946502649255049
1,0.1,320,100,8,"(32, 32)",13.205981858542156
1,0.1,320,200,2,"(32, 32)",10.7464441140403
1,0.1,320,200,4,"(32, 32)",12.209092482224138
1,0.1,320,200,6,"(32, 32)",12.858914150355803
1,0.1,320,200,8,"(32, 32)",13.203507674049408
1,0.1,416,50,2,"(32, 32)",8.719400579866024
1,0.1,416,50,4,"(32, 32)",11.567057603134787
1,0.1,416,50,6,"(32, 32)",12.468583108267884
1,0.1,416,50,8,"(32, 32)",12.94131413503853
1,0.1,416,100,2,"(32, 32)",8.754908901331039
1,0.1,416,100,4,"(32, 32)",11.478492860120781
1,0.1,416,100,6,"(32, 32)",12.446545096241111
1,0.1,416,100,8,"(32, 32)",12.893539857469412
1,0.1,416,200,2,"(32, 32)",8.708224598572299
1,0.1,416,200,4,"(32, 32)",11.478031404624101
1,0.1,416,200,6,"(32, 32)",12.454044858494864
1,0.1,416,200,8,"(32, 32)",12.912609242423073
1,0.1,512,50,2,"(32, 32)",7.512236721611177
1,0.1,512,50,4,"(32, 32)",11.1040002024318
1,0.1,512,50,6,"(32, 32)",12.25316407738126
1,0.1,512,50,8,"(32, 32)",12.748444555808732
1,0.1,512,100,2,"(32, 32)",7.471518797383062
1,0.1,512,100,4,"(32, 32)",11.041110292248497
1,0.1,512,100,6,"(32, 32)",12.118255627184995
1,0.1,512,100,8,"(32, 32)",12.675539740332173
1,0.1,512,200,2,"(32, 32)",7.449558516356728
1,0.1,512,200,4,"(32, 32)",11.023209967586663
1,0.1,512,200,6,"(32, 32)",12.12452822681775
1,0.1,512,200,8,"(32, 32)",12.6039737066626
1,1.0,128,50,2,"(32, 32)",15.418556606160735
1,1.0,128,50,4,"(32, 32)",15.147963439228429
1,1.0,128,50,6,"(32, 32)",15.24783097147646
1,1.0,128,50,8,"(32, 32)",15.273720975230601
1,1.0,128,100,2,"(32, 32)",15.464382595462318
1,1.0,128,100,4,"(32, 32)",15.171018597900787
1,1.0,128,100,6,"(32, 32)",15.260649167872982
1,1.0,128,100,8,"(32, 32)",15.303667035434524
1,1.0,128,200,2,"(32, 32)",15.584126348598188
1,1.0,128,200,4,"(32, 32)",15.10261998467853
1,1.0,128,200,6,"(32, 32)",15.156515657908573
1,1.0,128,200,8,"(32, 32)",15.355124551956703
1,1.0,224,50,2,"(32, 32)",13.316794548964333
1,1.0,224,50,4,"(32, 32)",14.00761465346721
1,1.0,224,50,6,"(32, 32)",14.48399561577546
1,1.0,224,50,8,"(32, 32)",14.79485380553648
1,1.0,224,100,2,"(32, 32)",13.322811664150617
1,1.0,224,100,4,"(32, 32)",14.017593500714362
1,1.0,224,100,6,"(32, 32)",14.472043809789643
1,1.0,224,100,8,"(32, 32)",14.775114499857073
1,1.0,224,200,2,"(32, 32)",13.308327034264215
1,1.0,224,200,4,"(32, 32)",14.02156857758705
1,1.0,224,200,6,"(32, 32)",14.437578737779072
1,1.0,224,200,8,"(32, 32)",14.759308415573063
1,1.0,320,50,2,"(32, 32)",12.055122293479323
1,1.0,320,50,4,"(32, 32)",13.606625687647902
1,1.0,320,50,6,"(32, 32)",14.252544510522114
1,1.0,320,50,8,"(32, 32)",14.579164719379328
1,1.0,320,100,2,"(32, 32)",11.961303147221724
1,1.0,320,100,4,"(32, 32)",13.57323273734517
1,1.0,320,100,6,"(32, 32)",14.152086197154448
1,1.0,320,100,8,"(32, 32)",14.561129002028679
1,1.0,320,200,2,"(32, 32)",11.970607683122134
1,1.0,320,200,4,"(32, 32)",13.57518024360046
1,1.0,320,200,6,"(32, 32)",14.171174592497783
1,1.0,320,200,8,"(32, 32)",14.489994280006433
1,1.0,416,50,2,"(32, 32)",11.308872041588733
1,1.0,416,50,4,"(32, 32)",13.39461782743965
1,1.0,416,50,6,"(32, 32)",14.079474753856495
1,1.0,416,50,8,"(32, 32)",14.485031557479997
1,1.0,416,100,2,"(32, 32)",11.206123238148171
1,1.0,416,100,4,"(32, 32)",13.401033395803454
1,1.0,416,100,6,"(32, 32)",14.06366192573878
1,1.0,416,100,8,"(32, 32)",14.432863886527892
1,1.0,416,200,2,"(32, 32)",11.167493609274356
1,1.0,416,200,4,"(32, 32)",13.338776637635128
1,1.0,416,200,6,"(32, 32)",14.062363280585389
1,1.0,416,200,8,"(32, 32)",14.445281866855026
1,1.0,512,50,2,"(32, 32)",10.893717650968984
1,1.0,512,50,4,"(32, 32)",13.29452361172615
1,1.0,512,50,6,"(32, 32)",14.00356424464697
1,1.0,512,50,8,"(32, 32)",14.417447122311849
1,1.0,512,100,2,"(32, 32)",10.828977873270642
1,1.0,512,100,4,"(32, 32)",13.28148796317149
1,1.0,512,100,6,"(32, 32)",13.98006300272136
1,1.0,512,100,8,"(32, 32)",14.368478506476059
1,1.0,512,200,2,"(32, 32)",10.784195738026293
1,1.0,512,200,4,"(32, 32)",13.266467531585096
1,1.0,512,200,6,"(32, 32)",13.966574411990367
1,1.0,512,200,8,"(32, 32)",14.372621820517141
1,10.0,128,50,2,"(32, 32)",15.601057217304454
1,10.0,128,50,4,"(32, 32)",15.900658004868633
1,10.0,128,50,6,"(32, 32)",16.12298074543525
1,10.0,128,50,8,"(32, 32)",16.265205194660595
1,10.0,128,100,2,"(32, 32)",15.565319495275073
1,10.0,128,100,4,"(32, 32)",15.892366897100036
1,10.0,128,100,6,"(32, 32)",16.137880725343706
1,10.0,128,100,8,"(32, 32)",16.26968166103192
1,10.0,128,200,2,"(32, 32)",15.560328565722582
1,10.0,128,200,4,"(32, 32)",15.867173195348364
1,10.0,128,200,6,"(32, 32)",16.089151321703874
1,10.0,128,200,8,"(32, 32)",16.27238682923059
1,10.0,224,50,2,"(32, 32)",14.765376077804254
1,10.0,224,50,4,"(32, 32)",15.594080002222723
1,10.0,224,50,6,"(32, 32)",15.915673962271903
1,10.0,224,50,8,"(32, 32)",16.11951430107279
1,10.0,224,100,2,"(32, 32)",14.756587998018436
1,10.0,224,100,4,"(32, 32)",15.633758653550053
1,10.0,224,100,6,"(32, 32)",15.897359885545978
1,10.0,224,100,8,"(32, 32)",16.07017838232501
1,10.0,224,200,2,"(32, 32)",14.759566873744538
1,10.0,224,200,4,"(32, 32)",15.585889773188205
1,10.0,224,200,6,"(32, 32)",15.885516430484204
1,10.0,224,200,8,"(32, 32)",16.087843913068035
1,10.0,320,50,2,"(32, 32)",14.391062113763773
1,10.0,320,50,4,"(32, 32)",15.580469014425486
1,10.0,320,50,6,"(32, 32)",15.826802897993133
1,10.0,320,50,8,"(32, 32)",16.01511563119105
1,10.0,320,100,2,"(32, 32)",14.444939748308935
1,10.0,320,100,4,"(32, 32)",15.532012122507838
1,10.0,320,100,6,"(32, 32)",15.817786256633603
1,10.0,320,100,8,"(32, 32)",15.993889476291688
1,10.0,320,200,2,"(32, 32)",14.389488283009754
1,10.0,320,200,4,"(32, 32)",15.508852614875533
1,10.0,320,200,6,"(32, 32)",15.812012314343646
1,10.0,320,200,8,"(32, 32)",16.019423377700083
1,10.0,416,50,2,"(32, 32)",14.29543636567313
1,10.0,416,50,4,"(32, 32)",15.479322731323196
1,10.0,416,50,6,"(32, 32)",15.812179501870235
1,10.0,416,50,8,"(32, 32)",16.001531885246504
1,10.0,416,100,2,"(32, 32)",14.259674803461975
1,10.0,416,100,4,"(32, 32)",15.479472934710206
1,10.0,416,100,6,"(32, 32)",15.798092637642965
1,10.0,416,100,8,"(32, 32)",15.9852579866698
1,10.0,416,200,2,"(32, 32)",14.288639886195021
1,10.0,416,200,4,"(32, 32)",15.483639481183097
1,10.0,416,200,6,"(32, 32)",15.774148502734723
1,10.0,416,200,8,"(32, 32)",15.978143545699925
1,10.0,512,50,2,"(32, 32)",14.179137197697981
1,10.0,512,50,4,"(32, 32)",15.486229840304839
1,10.0,512,50,6,"(32, 32)",15.790903051160265
1,10.0,512,50,8,"(32, 32)",15.993407202472268
1,10.0,512,100,2,"(32, 32)",14.142365979670082
1,10.0,512,100,4,"(32, 32)",15.43446511773113
1,10.0,512,100,6,"(32, 32)",15.768387128152677
1,10.0,512,100,8,"(32, 32)",15.967863950390596
1,10.0,512,200,2,"(32, 32)",14.184358627131717
1,10.0,512,200,4,"(32, 32)",15.476857536388327
1,10.0,512,200,6,"(32, 32)",15.768227701688447
